Date,Open,High,Low,Close,Adj Close,Volume
2013-06-10,91.620003,91.620003,91.599998,91.599998,82.043625,212800
2013-06-11,91.620003,91.620003,91.599998,91.620003,82.061569,160350
2013-06-12,91.620003,91.620003,91.599998,91.599998,82.043625,490050
2013-06-13,91.599998,91.620003,91.599998,91.620003,82.061569,2133200
2013-06-14,91.599998,91.620003,91.599998,91.599998,82.043625,350350
2013-06-17,91.599998,91.620003,91.599998,91.599998,82.043625,105150
2013-06-18,91.599998,91.620003,91.599998,91.599998,82.043625,169700
2013-06-19,91.620003,91.620003,91.599998,91.599998,82.043625,116200
2013-06-20,91.620003,91.620003,91.599998,91.599998,82.043625,1520400
2013-06-21,91.620003,91.620003,91.599998,91.620003,82.061569,444100
2013-06-24,91.599998,91.620003,91.599998,91.620003,82.061569,384500
2013-06-25,91.599998,91.620003,91.599998,91.620003,82.061569,3208500
2013-06-26,91.599998,91.620003,91.599998,91.620003,82.061569,473600
2013-06-27,91.620003,91.620003,91.599998,91.599998,82.043625,185250
2013-06-28,91.620003,91.620003,91.580002,91.599998,82.043625,1420750
2013-07-01,91.599998,91.620003,91.599998,91.620003,82.061569,437200
2013-07-02,91.620003,91.620003,91.599998,91.599998,82.043625,378300
2013-07-03,91.620003,91.620003,91.599998,91.620003,82.061569,208100
2013-07-05,91.620003,91.620003,91.599998,91.620003,82.061569,342300
2013-07-08,91.599998,91.620003,91.580002,91.580002,82.025734,152300
2013-07-09,91.580002,91.620003,91.580002,91.580002,82.025734,631600
2013-07-10,91.580002,91.599998,91.580002,91.580002,82.025734,239350
2013-07-11,91.580002,91.599998,91.580002,91.580002,82.025734,790050
2013-07-12,91.580002,91.599998,91.580002,91.580002,82.025734,254550
2013-07-15,91.580002,91.599998,91.580002,91.580002,82.025734,298700
2013-07-16,91.599998,91.599998,91.580002,91.580002,82.025734,146050
2013-07-17,91.599998,91.599998,91.580002,91.580002,82.025734,156600
2013-07-18,91.599998,91.599998,91.580002,91.599998,82.043625,168700
2013-07-19,91.580002,91.599998,91.580002,91.599998,82.043625,85550
2013-07-22,91.599998,91.599998,91.580002,91.599998,82.043625,421550
2013-07-23,91.580002,91.599998,91.580002,91.599998,82.043625,92900
2013-07-24,91.599998,91.620003,91.580002,91.620003,82.061569,747200
2013-07-25,91.599998,91.620003,91.580002,91.580002,82.025734,149550
2013-07-26,91.620003,91.620003,91.580002,91.580002,82.025734,378550
2013-07-29,91.580002,91.599998,91.580002,91.599998,82.043625,160600
2013-07-30,91.580002,91.599998,91.580002,91.580002,82.025734,172400
